replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,28.873783,28.922575,-5.2805243,-0.000596264,0.0013442786,0.002862377,-0.004318204,-0.0051374887,0.0010983582,-0.0027506766,-0.0074739433,5.333147,0.65216476,6.8474636,3.3443694,-5.2856393,0.62655294,-3.587441,-6.768138,0.000119016964,0.0011782276,0.0026831212,-0.0021348975,1.7295613e-05,0.00082932133,0.0019251887,-0.0014962204,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.0024851141320995835,0.0018628754691647235,0.018766589985724173,0.000574311730710503,1.2425570660497918,0.2184191656774592,1.481155169960059,0.8491176157779652,-0.0024056514,0.62519556,0.9989642,-0.9993447,5,1.2425570660497918,2500,5,500.0,0.0,500,500,0.0027137946975759482,0.00038155366333357765,0.0036845553709412616,0.002063022954775905,1.356897348787975,0.13153504169568012,1.5091323067668134,1.1473836249231304,1.356897348787975,0.13153504169568012,1.5091323067668134,1.1473836249231304,0.00016541398,0.0011854903,0.002573193,-0.0018591154,5,1.356897348787975,0.027291544945910573,61.28573351306841,63.12635231297463,0.02284388500265777,0.023189991945400834,14.816650062915869,139.30206131085288,887.762944832677,0
8300,0.012112918,0.012012798,-8.577354,3.1861627,0.02281521,3.237288,3.1109517,3.1844559,0.018439334,3.220525,3.12074,3.1883771,0.11081058,3.6065063,2.9237804,-5.397399,0.28822166,-4.7007546,-6.5877757,-0.009002709,0.012308578,0.019644927,-0.028687686,-0.1303002,0.006678121,-0.12154333,-0.14569399,0.3674118220806122,-13.401047706604004,8300,17,500.0,0.0,500,500,0.0023241204225990693,0.0014329216724753371,0.012310812147934256,0.0003614615884954933,1.1620602112995342,0.2596864329241773,1.5488835079126586,0.7427051169210214,-0.0047185863,0.5878491,0.9973847,-0.9974743,5,1.1620602112995342,5000,10,500.0,0.0,500,500,0.002363146639234661,0.0006703088897650675,0.005353198481188933,0.0017117662555407181,1.18157331961733,0.10135901352006248,1.301716093472806,0.9969613946775732,1.18157331961733,0.10135901352006248,1.301716093472806,0.9969613946775732,-0.008735625,0.01226477,0.01822322,-0.027586175,5,1.18157331961733,0.028052244102582335,62.00205002701841,64.86971513403114,0.02269540901761502,0.012655277037993073,14.511553614982404,141.44672170619015,1029.214079956757,1
10800,0.0017104242,0.0016494635,-8.3737545,2.914631,0.016936697,2.9607582,2.863276,2.9152484,0.015771959,2.9575372,2.870691,2.9168463,0.040586744,3.0602198,2.8063245,-5.4620733,0.34065762,-4.5588493,-6.8931055,0.0018166507,0.009363962,0.012712793,-0.0215787,-0.13071236,0.0053317808,-0.1198645,-0.13895783,0.13516326248645782,-26.927812576293945,10800,22,500.0,0.0,500,500,0.002306437313212707,0.0012062903072751852,0.014911034154673012,0.0008315026982840342,1.1532186566063534,0.1949236427132867,1.4985497835231119,0.9012821876628774,-0.0014398042,0.5858887,0.996447,-0.99737906,5,1.1532186566063534,7500,15,500.0,0.0,500,500,0.0029337470988280777,0.000645735533155343,0.0050488765395964984,0.0017490521017225508,1.4668735494140392,0.14595103474473348,1.657803498967099,1.263560239477132,1.4668735494140392,0.14595103474473348,1.657803498967099,1.263560239477132,0.001909684,0.00929416,0.012236508,-0.020508215,5,1.4668735494140392,0.028301140991970897,57.09178341703955,64.37002405605745,0.02276611200068146,0.012519441894255579,14.588193175964989,136.1135873439489,1165.331923586782,2
13300,0.0002684679,0.000267265,-8.3114395,2.8674512,0.021949561,2.904292,2.7194147,2.8670218,0.024778824,2.9036765,2.6885884,2.8659987,0.027614279,2.952382,2.6971152,-5.4463453,0.33926508,-4.4604917,-6.415846,0.0010302907,0.005814114,0.012918044,-0.0071599744,-0.112452395,0.0048835,-0.101295605,-0.123649776,0.04972447082400322,-40.34251403808594,13300,27,500.0,0.0,500,500,0.0023050537296602142,0.002630640471258542,0.028155794296639742,0.00047412560784331804,1.152526864830107,0.4304009965291306,1.8699278723855555,0.7336946978192236,0.004901632,0.5956925,0.99960387,-0.99974656,5,1.152526864830107,10000,20,500.0,0.0,500,500,0.0027450624089200262,0.0006228499450228763,0.004731661326815245,0.002127781623337605,1.372531204460013,0.08163030537766854,1.4877361578604043,1.2392394120455337,1.372531204460013,0.08163030537766854,1.4877361578604043,1.2392394120455337,0.0010491305,0.0058117537,0.012310093,-0.006351065,5,1.372531204460013,0.01433016499504447,60.72552104399074,49.53946542891208,0.01235808595083654,0.007220732979476452,9.579279699944891,119.87817515677307,1285.2142186876154,3
15800,5.988548e-05,6.0856903e-05,-8.261227,2.8413904,0.017754303,2.8747997,2.7397377,2.841615,0.018136475,2.879988,2.732545,2.8400712,0.01921222,2.886986,2.7293365,-5.421114,0.3275577,-4.615263,-6.364067,-0.005094189,0.010868173,0.017169874,-0.023911644,-0.10123278,0.0030559374,-0.09428033,-0.109763026,0.018294358626008034,-53.686641693115234,15800,32,500.0,0.0,500,500,0.002079559549611929,0.0009510651604625954,0.012042028336998353,0.0006762548113932846,1.039779774805964,0.12071368720871273,1.2570724800065638,0.8999881872175373,-0.0061915126,0.5968255,0.9977591,-0.99607545,5,1.039779774805964,12500,25,500.0,0.0,500,500,0.002556105284528527,0.0007042360797105962,0.005881348446480508,0.0017060833221138635,1.278052642264263,0.1756182554840934,1.5935094333493214,1.0588981052944462,1.278052642264263,0.1756182554840934,1.5935094333493214,1.0588981052944462,-0.0050666328,0.010892621,0.016600655,-0.023104506,5,1.278052642264263,0.027974369935691357,53.48136082000565,62.588029791018926,0.02283844002522528,0.012729028007015586,14.672514731995761,130.80544718098827,1416.0221648656297,4
18300,1.3558078e-05,1.5309266e-05,-8.280081,2.806451,0.028571835,2.8436134,2.634527,2.806604,0.028596383,2.8442962,2.6297324,2.806822,0.028113386,2.8446012,2.6373336,-5.4748745,0.43881547,-4.4353895,-6.937323,-0.014506359,0.041972734,0.049279287,-0.09495174,-0.0800917,0.0056192153,-0.06814163,-0.0977505,0.006734127644449472,-67.3685531616211,18300,37,500.0,0.0,500,500,0.0029308934514672555,0.0032666362900281532,0.027760267938118734,0.0007490476090324627,1.4654467257336277,1.2072305825049756,3.8793352936173675,0.8237848607485158,-0.006506468,0.60682184,0.99847656,-0.9992836,5,1.4654467257336277,15000,30,500.0,0.0,500,500,0.00342080344228754,0.000968090999062124,0.005783670121900813,0.0022339801088115422,1.710401721143769,0.0697196034511743,1.8403256210072345,1.6377780958805994,1.710401721143769,0.0697196034511743,1.8403256210072345,1.6377780958805994,-0.014378775,0.041838557,0.046315923,-0.08488464,5,1.710401721143769,0.027765216073021293,64.33059766399674,61.026505889953114,0.022526527056470513,0.012527422979474068,14.661596424062736,140.08151914412156,1556.1080182357691,5
20800,3.6142883e-05,4.0452513e-05,-8.100262,2.780929,0.024456581,2.8267028,2.6886072,2.7811117,0.024239186,2.82441,2.6872504,2.7819085,0.026222635,2.8861573,2.682353,-5.320026,0.63332856,-3.7986352,-7.087943,-0.047566015,0.10789096,0.12305157,-0.28142145,-0.0372369,0.0062493063,-0.02229128,-0.051134404,0.0024850007612258196,-79.87338256835938,20800,42,500.0,0.0,500,500,0.0077359865770514165,0.009783326917674856,0.10942772569202544,0.0006289978027285053,3.867993288525706,3.1645952175868555,9.312849297223389,0.7388926586639769,-0.025713174,0.61554563,0.9993858,-0.99894124,5,3.867993288525706,17500,35,500.0,0.0,500,500,0.058933009987534556,0.09128054669968472,0.2811183731904578,0.0015751391022736122,29.466504993767273,38.603565090583906,106.63217203787048,7.947210042463196,29.466504993767273,38.603565090583906,106.63217203787048,7.947210042463196,-0.04156297,0.09564466,0.11049906,-0.24438335,5,29.466504993767273,0.02792053495068103,64.2347443930339,65.91324447304942,0.012609413941390812,0.007147109950892627,14.22972506401129,144.42539098893758,1700.5373834475176,6
23300,7.3774696e-05,5.463027e-05,-7.352995,2.7547028,0.036583252,2.8196828,2.569202,2.7551794,0.035988085,2.830277,2.5747561,2.7540874,0.038838085,2.8810499,2.5728805,-4.5976458,1.5477135,-0.8676997,-8.672108,-0.1384036,0.35827434,0.6743205,-1.3127283,0.015157327,0.05359337,0.20400709,-0.121209055,0.0009330593748018146,-87.88225555419922,23300,47,500.0,0.0,500,500,0.014945572891203168,0.02110637420246397,0.1788847198285932,3.448532978601641e-05,7.472786445601585,2.912368961539143,10.635162552503061,2.0890001901855024,-0.076411165,0.6365869,0.9995593,-0.99960864,5,7.472786445601585,20000,40,500.0,0.0,500,500,0.033416074503467175,0.05801050790127414,0.26473694783292334,1.6794449573027432e-05,16.708037251733593,6.175584437133256,26.506426757536467,9.992817515355549,16.708037251733593,6.175584437133256,26.506426757536467,9.992817515355549,-0.1298065,0.22881792,0.54813635,-0.7092566,5,16.708037251733593,0.028010973008349538,52.1568566680653,66.17083115002606,0.0225889760768041,0.012469614972360432,14.56181144202128,132.95256882417016,1833.4925643266179,7
25800,0.00060473086,0.00047285703,5.8527765,2.6802197,0.2314192,2.8610473,1.598428,2.6753416,0.22382484,2.8737416,1.6601073,2.6745534,0.24410617,2.881477,1.5799121,8.539467,4.8358107,19.168257,-4.300088,-0.64114815,1.4993734,2.3854356,-2.332539,-0.38282707,0.26219022,0.47382498,-0.82913,0.0005072167259640992,4.092771530151367,25800,52,500.0,0.0,500,500,0.006092817324516595,0.009951661541754558,0.053155099022151174,0.0008245195371305,3.0464086622582984,0.7995358136339917,3.9429413489394984,1.7110891642617139,-0.28912064,0.7079943,0.99992627,-0.99994856,5,3.0464086622582984,22500,45,500.0,0.0,500,500,0.008126265752153734,0.011133984855578928,0.05821344440215769,0.001077972766307669,4.063132876076866,1.241171014996644,5.506758477190194,2.2569911756551555,4.063132876076866,1.241171014996644,5.506758477190194,2.2569911756551555,-0.33090904,0.6402556,0.9771861,-0.9777591,5,4.063132876076866,0.02773394901305437,67.52126008993946,62.95222959702369,0.02294542593881488,0.012555728084407747,14.38627421495039,144.92299900494982,1978.4197325895075,8
28300,0.00012132641,0.0003042282,4.0937543,2.6252103,0.26674587,2.8860013,1.660954,2.6274605,0.26317623,2.8898041,1.6684661,2.6175585,0.26633248,2.8901682,1.6589262,6.728163,6.76617,27.154217,-5.8084326,-0.7443629,1.3679984,3.1015666,-2.8099046,-0.33153254,0.2686933,0.56981736,-1.0381482,0.00029746146174147725,-10.327411651611328,28300,57,500.0,0.0,500,500,0.005208579207654828,0.009085908166944285,0.050971209731440544,0.0007082709111007054,2.604289603827413,0.6196046732024479,3.44178765265242,1.7200942083452768,-0.31745294,0.65584713,0.99949765,-0.99985576,5,2.604289603827413,25000,50,500.0,0.0,500,500,0.014295166957031995,0.023228124336938605,0.10674234369483578,0.0009479046217820725,7.147583478515996,1.7780178058835414,9.997469606838548,4.817453584420976,7.147583478515996,1.7780178058835414,9.997469606838548,4.817453584420976,-0.40993336,0.5519024,0.9734506,-0.97601336,5,7.147583478515996,0.014141457038931549,60.37273528100923,58.868666663067415,0.02260588190983981,0.012461762991733849,11.515970521024428,130.80658156704158,2109.230625347467,9
