replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,22.05453,22.031933,-4.604848,-0.007975279,0.0013482005,-0.0041874945,-0.0105716465,-0.00552214,0.0013325792,-0.0018935422,-0.009639742,4.649812,0.59966534,6.126306,2.8539014,-4.6129794,0.55814075,-2.9960144,-5.7659416,-0.0006645998,0.0005886922,0.00095178495,-0.0023584547,0.00016252913,0.0011231622,0.0024419627,-0.0021680407,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.0015165362117002456,0.0005997954097689456,0.008610369600858045,0.00031749595504635233,0.7582681058501227,0.059633210206667946,0.8731588718835701,0.7101488205326657,-0.003101725,0.62547684,0.9989483,-0.99934036,5,0.7582681058501227,2500,5,500.0,0.0,500,500,0.004172473859712628,0.0007479056494039392,0.005585049103623252,0.002397836503992587,2.0862369298563133,0.1301992013008904,2.2921443159109085,1.9412380957062412,2.0862369298563133,0.1301992013008904,2.2921443159109085,1.9412380957062412,-0.00063216244,0.0005973403,0.00047940368,-0.0016637834,5,2.0862369298563133,0.025352210039272904,61.894575826998334,62.30329517100472,0.02065105299698189,0.06764481798745692,13.478291213978082,137.78981029300485,940.224958017061,0
8300,0.01164552,0.011438873,-7.5507383,2.8341231,0.031699475,2.9091766,2.6869838,2.8347213,0.031879086,2.8880627,2.7229338,2.8359437,0.09946672,3.1980853,2.6383522,-4.726136,0.28526068,-3.9498286,-5.7317905,-0.0013189205,0.012706263,0.02825977,-0.02432067,-0.12437943,0.009912782,-0.09313324,-0.14635658,0.36740174889564514,-11.72965145111084,8300,17,500.0,0.0,500,500,0.002142840909146803,0.0021600084268350753,0.027445935138235938,1.0574636576302658e-05,1.0714204545734014,0.43217587388588946,1.8905155617218277,0.7337651488346055,-0.0010833727,0.58864045,0.9977042,-0.9971434,5,1.0714204545734014,5000,10,500.0,0.0,500,500,0.004774887497191599,0.005936604699526703,0.03780476955986242,0.0011475393157682802,2.3874437485957998,1.3391681187486892,4.22514011267402,1.214323285335646,2.3874437485957998,1.3391681187486892,4.22514011267402,1.214323285335646,-0.0010004141,0.0125345085,0.025316902,-0.02020785,5,2.3874437485957998,0.02838860300835222,65.19616812601453,64.84245723899221,0.022627523983828723,0.012418869999237359,14.625053533993196,144.72711389599135,1084.9611377920373,1
10800,0.0013058167,0.0013604839,-7.362898,2.5983996,0.025451973,2.6559155,2.5029771,2.5974965,0.024584295,2.6619756,2.5089993,2.5966027,0.042974774,2.7094631,2.4841664,-4.770257,0.31319502,-4.0713854,-6.139244,0.0052934224,0.014542148,0.033970997,-0.021593856,-0.13099267,0.008123745,-0.10572613,-0.15101945,0.13516134023666382,-23.543886184692383,10800,22,500.0,0.0,500,500,0.0033443082380683526,0.004031165779809692,0.037266354687300565,5.299455031068492e-05,1.672154119034176,0.9015398182930602,2.7567342641187897,0.709868594097797,0.0025309357,0.5848832,0.99601966,-0.99736357,5,1.672154119034176,7500,15,500.0,0.0,500,500,0.004869349034548486,0.001245224778414221,0.007097738138523334,0.0017258049795613212,2.4346745172742428,0.42452365342224135,3.0160471417712555,1.7565410149555376,2.4346745172742428,0.42452365342224135,3.0160471417712555,1.7565410149555376,0.005975848,0.0136191165,0.02773281,-0.012741296,5,2.4346745172742428,0.028138674038928002,61.45634865196189,64.78417016600724,0.023608813004102558,0.01247087400406599,14.492101081006695,140.79683826002292,1225.7622129130177,2
13300,0.00019350108,0.00022111082,-7.324607,2.5536883,0.024836881,2.6026914,2.4549868,2.5532475,0.024680993,2.596246,2.462024,2.5511782,0.025423003,2.5986543,2.4670286,-4.7751193,0.3018368,-4.0149064,-5.5273457,0.009106776,0.014057781,0.03199299,-0.016203351,-0.10860813,0.006410243,-0.096900865,-0.12563218,0.049724895507097244,-35.32830047607422,13300,27,500.0,0.0,500,500,0.0024307441763613004,0.0034318618853554535,0.037779489495850166,0.000354887019820293,1.2153720881806502,0.6462527759506166,2.4160465294796505,0.7084645331241706,0.0087249335,0.5971118,0.99962145,-0.9997466,5,1.2153720881806502,10000,20,500.0,0.0,500,500,0.0030487501021540723,0.00022731736474619654,0.0035777774062271082,0.002464104865214445,1.5243750510770355,0.08136066027485499,1.671742419418138,1.4268749458711865,1.5243750510770355,0.08136066027485499,1.671742419418138,1.4268749458711865,0.009318669,0.013758861,0.029750729,-0.008434351,5,1.5243750510770355,0.028394844033755362,60.413273933983874,57.224101793020964,0.016197677003219724,0.009436749038286507,14.716459768998902,132.407864766079,1358.1750520171481,3
15800,7.326868e-05,8.6895e-05,-7.2659607,2.526452,0.024354396,2.568925,2.4575186,2.5256672,0.024420742,2.5704908,2.463269,2.5266821,0.025831569,2.577716,2.4510882,-4.7419486,0.33985138,-3.9932156,-5.653391,0.0037726108,0.01880563,0.06018284,-0.02605068,-0.08812783,0.008166672,-0.065143,-0.105119735,0.018298257142305374,-46.96720886230469,15800,32,500.0,0.0,500,500,0.0048177094664321385,0.006618186483066898,0.0707959127902673,3.6762986081267634e-06,2.4088547332160686,2.5195079293912386,7.32022811731693,0.7146743930110553,-0.003481671,0.6015234,0.99792916,-0.99599856,5,2.4088547332160686,12500,25,500.0,0.0,500,500,0.0029638260776422235,0.0005090232306341958,0.004244827140499027,0.0016915767932430298,1.481913038821112,0.2009748053023367,1.7578768356731092,1.1871688503393116,1.481913038821112,0.2009748053023367,1.7578768356731092,1.1871688503393116,0.0034571362,0.018632818,0.04850597,-0.021102486,5,1.481913038821112,0.02668131998507306,39.298059626016766,49.469693716964684,0.022685189032927155,0.012728480971418321,15.22083374997601,104.05068208294688,1462.2293187700561,4
18300,4.111578e-05,4.5587945e-05,-7.2522936,2.5034628,0.029984582,2.691517,2.410083,2.504479,0.03288925,2.7364128,2.4202225,2.5022693,0.03142692,2.7054138,2.4237304,-4.750249,0.48457497,-3.5206354,-6.1473923,-0.006881866,0.07941511,0.3144262,-0.3323436,-0.04784133,0.01992167,0.02099961,-0.08790952,0.006743558682501316,-58.729759216308594,18300,37,500.0,0.0,500,500,0.005012278618903826,0.005862341573646101,0.050679048811274725,0.00037395181516590957,2.506139309451914,2.1263372116441794,6.274300958075226,0.8249170632181503,-0.0017957482,0.61685735,0.9987352,-0.9984024,5,2.506139309451914,15000,30,500.0,0.0,500,500,0.0060567010447401745,0.005895516848386785,0.027499239528699322,0.0015856728737105332,3.0283505223700886,1.1461542132412743,4.380078507407785,1.4551854619858628,3.0283505223700886,1.1461542132412743,4.380078507407785,1.4551854619858628,-0.024344373,0.05373847,0.25023317,-0.30037215,5,3.0283505223700886,0.013826662034261972,59.30861414299579,54.49351466703229,0.016700569016393274,0.008251189952716231,13.296880111971404,127.13778734300286,1589.3711556551862,5
20800,5.2111503e-05,6.0326434e-05,-6.792935,2.4775224,0.035372466,2.584318,2.245011,2.4759858,0.03338159,2.5845408,2.2786844,2.4740932,0.036773715,2.5934517,2.2279925,-4.3170543,1.4033926,3.949768,-6.8643885,-0.032689292,0.3210378,1.0422134,-1.7818905,0.019422498,0.04010392,0.20500636,-0.087870866,0.002512776991352439,-67.73702239990234,20800,42,500.0,0.0,500,500,0.005097730370517647,0.006396293395197144,0.06899649958977043,3.513616372944055e-05,2.5488651852588236,1.2441113174194829,4.0090224950016164,0.9492380951792891,-0.033195905,0.6399763,0.99969035,-0.99974626,5,2.5488651852588236,17500,35,500.0,0.0,500,500,0.0015501124159425924,0.001210598959886373,0.016504313373790405,0.00026629264022405346,0.7750562079712963,0.024842463636436937,0.8026902481470543,0.732542315621662,0.7750562079712963,0.024842463636436937,0.8026902481470543,0.732542315621662,-0.10901313,0.24836774,0.8317583,-0.96561944,5,0.7750562079712963,0.02808598498813808,61.025829144055024,65.28328141401289,0.016627416014671326,0.010850452003069222,14.180491184000857,140.54516559507465,1729.9199620112195,6
23300,5.906462e-05,6.343461e-05,-4.258519,2.4531498,0.03508879,2.5199697,2.2359748,2.4518168,0.034770034,2.5181942,2.234716,2.4563017,0.035152838,2.5229013,2.2242527,-1.8018339,2.8785133,7.4068704,-8.248987,-0.05742517,0.8439435,2.0156472,-2.2434812,-0.00045801673,0.16298757,0.42479628,-0.57055366,0.001001836033537984,-60.77753829956055,23300,47,500.0,0.0,500,500,0.02098070992411326,0.02796765343788415,0.19340310954565715,0.00011042109290611832,10.490354962056628,1.2563390549260811,12.039672593685562,8.765543536922758,0.025214616,0.74389094,0.99998146,-0.99999547,5,10.490354962056628,20000,40,500.0,0.0,500,500,0.03808316242644737,0.05184446107010317,0.32989498493686753,4.6312559427684745e-05,19.041581213223676,7.1959021724763055,29.750186470794812,8.678278356036442,19.041581213223676,7.1959021724763055,29.750186470794812,8.678278356036442,0.010607096,0.62211776,0.9992652,-0.9995407,5,19.041581213223676,0.01399215601850301,65.39024589699693,45.73925976100145,0.020956675987690687,0.01100307604065165,12.308571920031682,123.4840294860769,1853.4064140423434,7
25800,0.00024797718,0.00022665982,0.6310154,2.4500093,0.050489455,2.6804461,2.3352869,2.4425967,0.045655783,2.6300478,2.3343356,2.4499083,0.043763336,2.6532776,2.3464127,3.0843272,4.9486666,22.501617,-6.594437,-0.11087115,1.3553913,4.159028,-5.0846643,-0.12741034,0.27033943,0.785771,-0.91738415,0.0005291550769470632,-29.53873062133789,25800,52,500.0,0.0,500,500,0.0228352059485724,0.034219398287708154,0.261569423757728,0.00012216470676773808,11.417602974286197,4.4042707691508545,19.910520464427805,7.636593134225656,-0.04293705,0.8160814,0.9999973,-0.99999136,5,11.417602974286197,22500,45,500.0,0.0,500,500,0.04494528418326396,0.10300395842867971,1.0,5.814776107153012e-05,22.472642091631986,10.079724083622226,36.926379485724354,13.35890805771482,22.472642091631986,10.079724083622226,36.926379485724354,13.35890805771482,-0.033652633,0.79086727,0.9999931,-0.99999297,5,22.472642091631986,0.01970690698362887,62.606176119996235,66.41163368499838,0.022888778999913484,0.012281629024073482,14.066560973005835,143.13924809300806,1996.5481465742923,8
28300,0.00065527984,0.0006859213,3.932303,2.4356563,0.056175116,2.6956825,2.3473294,2.441366,0.056777697,2.7081087,2.3244102,2.4384692,0.06531521,2.7750428,2.3158717,6.376973,6.2378354,37.141167,-4.42385,-0.14047317,1.6309539,3.718492,-6.137268,-0.2556651,0.28373247,1.3482354,-1.2860152,0.00034796769614331424,-4.961312294006348,28300,57,500.0,0.0,500,500,0.1353485118019436,0.15339036536665407,0.4262198727560609,2.9478255436341195e-05,67.67425590097176,59.602111866496344,177.24425550522201,11.134975353546327,-0.12448463,0.82718074,1.0,-0.99999946,5,67.67425590097176,25000,50,500.0,0.0,500,500,0.1187879550696164,0.1890807114518112,1.0,3.290475223313339e-05,59.393977534808165,33.603416218504044,99.21284024574072,19.469940289867594,59.393977534808165,33.603416218504044,99.21284024574072,19.469940289867594,-0.08936956,0.7880586,0.99887645,-0.99990827,5,59.393977534808165,0.027877967047970742,68.22009977896232,67.7754382659914,0.02296466496773064,0.012638478016015142,14.650858722976409,150.70987787796184,2147.2623506612144,9
