replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,16.471153,16.504082,-3.982883,0.0053571044,0.001225058,0.008280405,0.00238737,0.0012280485,0.0013349537,0.004249458,-0.0023909616,3.9685018,0.8745283,5.3245087,-0.28161082,-3.98161,0.48252508,-2.7084374,-5.2837553,0.0003143477,0.0014084195,0.0044182283,-0.0022626955,-0.00041279275,0.0008661429,0.0012706639,-0.0027812794,0.9990004897117615,-0.0,5800,96,62.5,42.01130800153692,200,14,0.011873573945108302,0.05642926413459801,0.10398689513053509,-0.8141320924419767,0.7420983715692688,1.0539991059597755,4.037107219330352,-0.7577489831960266,-0.0038502428,0.62631917,0.99895495,-0.9993388,40,0.7420983715692688,2500,5,500.0,0.0,500,500,0.02250161578111646,0.0033099281382673617,0.026776607849974442,0.016494040985851752,11.250807890558232,1.6500086133693899,13.241300674628814,8.41514438947794,11.250807890558232,1.6500086133693899,13.241300674628814,8.41514438947794,0.00020516588,0.0013119101,0.0030029432,-0.001241394,5,11.250807890558232,0.027225852012634277,91.66152777598472,97.37402341898996,0.019683266000356525,0.018637050001416355,14.904335280996747,204.00543264398584,1107.7775322290836,0
8300,0.026584975,0.027472721,-6.486422,2.4213781,0.09927786,2.6352649,2.0436392,2.419015,0.09593042,2.6070662,2.0638044,2.4737105,0.14056145,3.6114924,2.2085376,-4.076397,0.27689797,-3.3659632,-4.939399,-0.0016376147,0.015472818,0.02706051,-0.032676328,-0.12591125,0.010536785,-0.095812425,-0.1594163,0.3673974573612213,-10.079535484313965,8300,133,67.56756756756756,67.5151796907767,297,8,0.022969744610562993,0.2387947913975839,11.34456406812544,-0.4104889201376527,1.552009770983986,3.9548516195479406,23.207918938321686,-0.6692686257960099,-0.0005751137,0.58861905,0.9964402,-0.9968594,37,1.552009770983986,5000,10,500.0,0.0,500,500,0.027932633629352995,0.011177793156005006,0.06174380039178591,0.01312881546551531,13.966316814676494,4.818965257365658,21.252692781054563,8.40636062134197,13.966316814676494,4.818965257365658,21.252692781054563,8.40636062134197,-0.001992875,0.015485947,0.02301197,-0.02566083,5,13.966316814676494,0.02825332002248615,91.93854446301702,98.25791959901107,0.02346645703073591,0.012728337955195457,15.237965381005779,205.4988775580423,1313.2797076231218,1
10800,0.17890754,0.18504645,-6.2721415,2.235352,0.1735922,2.516911,1.3609476,2.2380958,0.16501358,2.567009,1.521623,2.1461024,0.4956315,2.4985938,-0.28161082,-4.053567,0.34526584,-2.6759472,-5.118454,0.023445608,0.07730997,0.36426693,-0.23605679,-0.12102956,0.012319952,-0.09039541,-0.16985773,0.13520866632461548,-20.106504440307617,10800,171,65.78947368421052,59.48823762318451,298,7,0.02032153009792965,0.07844481442659967,2.786353346839214,-0.8352087035123356,1.336942769600635,2.529688924443988,13.273093386229423,-1.2320606297444805,0.014794961,0.58909434,0.99701774,-0.9980192,38,1.336942769600635,7431,32,110.5,1.6989301446391598,114,106,0.01081977625925145,0.02874499798284999,0.03235112789409083,-0.28161081385525205,1.195585276647285,0.4026609421146958,2.0371468465933864,0.576667307749035,1.195585276647285,0.4026609421146958,2.0371468465933864,0.576667307749035,0.03233158,0.10621374,0.23502609,-0.17476597,22,1.195585276647285,0.02774726797360927,87.54777316801483,77.07006734097376,0.023767573991790414,0.012732230999972671,15.17957664700225,179.86166422895622,1493.1455233979505,2
13300,0.049005132,0.052598365,-5.7893686,2.1397748,0.24593315,2.6018245,1.1111133,2.1417801,0.24196535,2.5611575,1.2677546,2.1272595,0.3467291,2.4557304,-0.28161082,-3.632802,0.9429856,-0.3068493,-5.9527593,0.050738644,0.30186218,1.115932,-1.3393579,-0.083309196,0.054850668,0.032264493,-0.45863295,0.05016329512000084,-28.816513061523438,13300,208,67.56756756756756,45.517766380232615,192,17,0.007583764626959528,0.04889683419472279,0.07663243456561664,-0.5860041134647173,0.5124165288486168,0.9850499335701116,2.634199910048492,-3.0144522889680716,0.035779085,0.6214767,0.9996826,-0.9997942,37,0.5124165288486168,9865,56,101.41666666666667,21.794335400639213,161,72,0.005342230621181806,0.030020270086335583,0.035453415208116436,-0.28161081385525205,0.5417912221648548,0.2879114903654832,0.9905841674294125,-0.005074156159562915,0.5417912221648548,0.2879114903654832,0.9905841674294125,-0.005074156159562915,0.06271934,0.22733214,0.56983566,-0.46512428,24,0.5417912221648548,0.027968952024821192,91.72621856996557,96.04600493400358,0.01890665799146518,0.007697267981711775,12.257885042985436,200.08468142495258,1693.234359199938,3
15800,0.047631383,0.04457594,-4.645691,2.177273,0.20521998,2.5941696,1.1631202,2.1563506,0.19617732,2.5132618,1.2849412,2.141769,0.27454716,2.445823,-0.28161082,-2.4467473,1.8369937,2.3863735,-6.699353,0.043122068,0.6204618,2.0181432,-1.7193718,-0.06575527,0.099949494,0.14767888,-0.4161734,0.019370170310139656,-33.306365966796875,15800,261,47.16981132075472,20.159492215318682,120,16,0.006782839472470911,0.05360178982378992,0.07248292334735147,-0.4543459658028606,0.31994525813542046,0.8043399142472454,2.425939528606199,-3.2510058152191266,0.047616113,0.67476285,0.9993943,-0.9992337,53,0.31994525813542046,12341,143,28.45977011494253,2.7825589715065306,49,25,0.005339070530243862,0.05568013163589783,0.04697323531260684,-0.28161081385525205,0.15194871991820463,0.17554474969221714,1.0048459949211446,-0.10416028003804625,0.15194871991820463,0.17554474969221714,1.0048459949211446,-0.10416028003804625,0.19319761,0.5372398,0.9430822,-0.85790336,87,0.15194871991820463,0.019232990045566112,91.85220248595579,86.24864796997281,0.025627924012951553,0.016567562008276582,14.898662704974413,193.0609416369698,1886.2978614000604,4
18300,0.10406083,0.100007474,-1.5822389,2.1180534,0.2500219,2.5481205,1.291759,2.1150947,0.2534009,2.5306516,1.3678366,2.076263,0.4184451,2.4777055,-0.28161082,0.5968395,3.7302995,13.288464,-5.9201837,0.17421551,1.1055013,2.9883533,-3.6203842,-0.22193412,0.18052919,0.17334841,-0.9108165,0.008761600591242313,-25.593341827392578,18300,297,69.44444444444444,31.238726361542945,134,19,0.0034721723775302947,0.0351724959629106,0.04550818602670079,-0.28161081385525205,0.24112308177293715,0.39120805864039104,1.773912283209135,-0.10322158129986217,0.13111253,0.69042134,0.99979305,-0.99972427,36,0.24112308177293715,14808,186,57.372093023255815,16.47552554945916,116,24,0.0010063117152186926,0.038380444365462424,0.043023659270501176,-0.28161081385525205,0.05773420933591898,0.08964453564426708,0.251699129186525,-0.06993505031936625,0.05773420933591898,0.08964453564426708,0.251699129186525,-0.06993505031936625,0.14649796,0.65855193,0.99872226,-0.9933384,43,0.05773420933591898,0.02747228497173637,84.02725893299794,82.95440617902204,0.02428747998783365,0.012829489016439766,15.144862783025019,182.191117149021,2068.4934751400724,5
20800,0.1885108,0.18331003,0.48386806,2.1334434,0.32763526,2.758296,1.0044163,2.134557,0.36450395,2.7151706,0.46218243,2.0370083,0.5715383,2.5939705,-0.28161082,2.6798546,4.009223,16.738127,-7.4750385,0.039025545,1.386722,3.6681428,-4.3447704,-0.3304255,0.21031529,0.30525565,-0.93081534,0.00494040735065937,-17.629722595214844,20800,462,15.151515151515152,3.739398850740844,34,6,-0.0015214239700361966,0.07475612169204154,0.052803458909888856,-0.28161081385525205,-0.02305187833388176,0.09922296336366164,0.3573946079609777,-0.21827366649851088,-0.11073213,0.74949455,0.999831,-0.9998135,165,-0.02305187833388176,17295,368,13.664835164835164,1.9535188665176382,28,12,-0.003500788106294801,0.07870157786989751,0.09349163692139358,-0.28161081385525205,-0.04783769241953389,0.08683401520835257,0.7199082351269055,-0.1871623439695198,-0.04783769241953389,0.08683401520835257,0.7199082351269055,-0.1871623439695198,-0.14973363,0.6875139,0.9722068,-0.9694978,182,-0.04783769241953389,0.028707630990538746,69.41979526000796,78.8127449999447,0.029030429024714977,0.013818976003676653,14.725205651018769,163.02930294699036,2231.527140836988,6
23300,0.021028241,0.02103023,1.146926,2.171166,0.31926432,2.7393951,0.42027447,2.165113,0.31342784,2.6860492,0.5104413,2.1324596,0.3226754,2.7034726,-0.28161082,3.377057,5.6316915,25.54126,-6.681632,0.20068717,1.448067,3.8823886,-4.945068,-0.453849,0.21755736,0.20417592,-1.3872156,0.003316696500405669,-14.972532272338867,23300,519,43.85964912280702,26.620423894031777,147,9,-0.013596812330119218,0.2061203338439915,3.9759530921911352,-1.465695774006201,-0.596351417987685,3.1757057840429277,9.856453194126091,-9.360439049614545,-0.008028385,0.6934566,0.9999839,-0.9999994,57,-0.596351417987685,19789,435,37.223880597014926,16.692853860727162,114,12,-0.033197548294507266,0.18985415117067148,5.369744477229842,-1.4091982054193677,-1.2357415738283752,2.105028417311631,4.024536271981052,-6.80940426867477,-1.2357415738283752,2.105028417311631,4.024536271981052,-6.80940426867477,0.010312231,0.6403864,0.99999577,-0.9999999,67,-1.2357415738283752,0.021003744041081518,98.25343639496714,97.61860962200444,0.02526458300417289,0.01257108198478818,14.485354543023277,210.4162399690249,2441.9479961190373,7
25800,0.05582408,0.05291194,3.594155,2.016652,0.46272606,2.7175403,-0.16133787,2.058915,0.4862482,2.7384596,-0.21297465,2.0053177,0.52416605,2.7120924,-0.44874012,5.715317,5.26682,26.079002,-3.9885702,0.15566476,1.5603926,5.500107,-5.0577326,-0.72277737,0.25171313,-0.014555231,-2.0172453,0.0023557532113045454,-1.7226042747497559,25800,567,52.083333333333336,22.178098555907706,140,29,-0.009649853044833975,0.2746230164738657,12.383983515537214,-0.49047773130874406,-0.5025965127517699,2.433469122479671,10.513987546744971,-5.324607103292012,-0.10215187,0.67241377,0.9999999,-0.9999969,48,-0.5025965127517699,22283,498,39.58730158730159,5.565297580813928,69,35,-0.031032267992064783,0.23963565576422408,5.344785334938369,-0.45001711602777567,-1.2284837519398342,3.1575218112291696,19.957013625757472,-4.742191194318229,-1.2284837519398342,3.1575218112291696,19.957013625757472,-4.742191194318229,-0.14925975,0.65395784,0.9999132,-0.9999871,63,-1.2284837519398342,0.028130059014074504,102.15966364601627,99.52936366898939,0.025298015971202403,0.012764004000928253,14.577228477981407,216.33244787197327,2658.285030840896,8
28300,0.026388198,0.027524108,3.9537196,2.1042411,0.46937907,3.0999372,-0.191592,2.121455,0.4620317,2.9321072,0.28388032,2.1099362,0.5076451,2.9355652,-0.34107202,6.15078,5.414625,26.841671,-6.163636,-0.31940863,1.460806,3.1147285,-6.6098046,-0.920602,0.3078496,-0.3325504,-2.7574468,0.001847776467911899,0.9490015506744385,28300,597,83.33333333333333,24.388977473896325,141,33,-0.007915832482506557,0.17062327203761038,4.160149834809805,-0.34393158901720094,-0.6596527068755466,2.496261817554256,7.780573695126138,-4.667514625681886,-0.11724816,0.6380778,0.9997038,-0.99999714,30,-0.6596527068755466,24745,533,70.34285714285714,31.09886801535925,218,39,-0.020997827254364523,0.08661097486542733,0.06245154139784498,-0.3534974200323235,-1.4770471628641562,2.5437357542614523,0.23389120849313577,-12.63807978802615,-1.4770471628641562,2.5437357542614523,0.23389120849313577,-12.63807978802615,-0.14665993,0.5990108,0.99947774,-0.999988,35,-1.4770471628641562,0.027911578014027327,93.11552781803766,99.09502304403577,0.01955469697713852,0.01049129496095702,14.413568089017645,206.6820765210432,2864.9715900789015,9
